,filepath,centroid,x_min,y_min,x_max,y_max,detection_confidence
592,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1773.5]",2919,1449,3721,2098,0.7625063
593,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1774.0]",2918,1449,3722,2099,0.7557993
594,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1774.0]",2918,1449,3722,2099,0.7615625
595,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3318.5, 1775.0]",2917,1449,3720,2101,0.75965655
596,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3318.5, 1775.0]",2917,1449,3720,2101,0.7586154
597,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1775.5]",2919,1450,3722,2101,0.7634241
598,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1775.5]",2920,1450,3723,2101,0.7615842
599,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.0, 1801.0]",2920,1498,3724,2104,0.7557195
600,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1800.0]",2920,1498,3721,2102,0.7589229
601,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1800.0]",2920,1498,3723,2102,0.758596
602,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.0, 1800.5]",2921,1499,3723,2102,0.75798714
603,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.0, 1799.5]",2920,1497,3724,2102,0.7585514
604,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.5, 1799.5]",2920,1497,3725,2102,0.75770366
605,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.5, 1799.5]",2920,1497,3725,2102,0.758318
606,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1799.5]",2921,1498,3722,2101,0.7586613
607,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1800.0]",2920,1498,3723,2102,0.75711685
608,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.5, 1801.0]",2920,1498,3725,2104,0.7561145
609,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.5, 1800.0]",2921,1497,3724,2103,0.75526285
610,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.0, 1800.0]",2921,1496,3723,2104,0.75562835
611,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.0, 1774.0]",2920,1448,3722,2100,0.7590535
612,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1775.5]",2919,1449,3724,2102,0.7616975
613,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3318.5, 1774.5]",2917,1448,3720,2101,0.75901955
614,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1774.0]",2919,1448,3721,2100,0.7639939
615,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1776.5]",2916,1449,3723,2104,0.76235414
616,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1776.5]",2915,1448,3724,2105,0.76016283
617,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3323.5, 1804.5]",2914,1493,3733,2116,0.7490481
618,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3324.0, 1804.5]",2913,1490,3735,2119,0.7494326
619,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1781.0]",2908,1449,3731,2113,0.75010324
620,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3323.5, 1804.5]",2914,1490,3733,2119,0.7492679
621,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3324.5, 1803.5]",2914,1492,3735,2115,0.7495221
622,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3323.5, 1804.5]",2914,1493,3733,2116,0.74992025
623,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3324.0, 1803.5]",2915,1491,3733,2116,0.7512993
624,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3323.5, 1803.5]",2915,1493,3732,2114,0.7507615
625,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1781.0]",2911,1450,3732,2112,0.7497177
